vehicleTypeId ; nuOfVehicles ; SumOfTourDuration[s] ; SumOfTravelDistances[m] ; costPerSecond[EUR/s]; costPerMeter[EUR/m] ; fixedCosts[EUR/veh] ;varCostsTime[EUR]; varCostsDist[EUR] ; fixedCosts[EUR] ; totalCosts[EUR]
heavy26t;81;1732209.0;8957903.54873481;0.0049;6.7E-4;82.6;8487.8241;6001.795377652323;6690.599999999999;21180.219477652325
heavy26t_frozen;4;139985.0;618032.5008909842;0.0049;6.7E-4;82.6;685.9265;414.0817755969594;330.4;1430.4082755969594
light8t;0;0.0;0.0;0.0049;4.0E-4;63.49;0.0;0.0;0.0;0.0
light8t_frozen;1;15547.0;64065.801179845585;0.0049;4.0E-4;63.49;76.1803;25.626320471938236;63.49;165.29662047193824
medium18t;8;223522.0;1065406.4950142368;0.0049;6.5E-4;80.47;1095.2577999999999;692.5142217592539;643.76;2431.532021759254
